Номер заказа;Дата заказа;Название товара;Категория товара;Количество продаж;Цена за единицу;Общая стоимость
4001;01.02.2022;Apple iPhone 14;Смартфоны;500;89990;44995000
4002;02.04.2022;Samsung Galaxy S22 Ultra;Смартфоны;300;99990;29997000
4003;03.01.2022;Игровые приставки;Игровые приставки;200;59990;11998000
4004;04.02.2022;LG OLED TV;Телевизоры;150;179990;26998500
4005;05.05.2022;Apple MacBook Pro 16;Ноутбуки;100;199990;19999000
4006;06.03.2022;Canon EOS R7;Фотоаппараты;50;249990;12499500
4007;07.06.2022;Bose QuietComfort 55;Наушники;100;34990;3499000
4008;08.05.2022;Samsung Galaxy Tab S8;Планшеты;75;69990;5249250
4009;09.04.2022;DJI Mavic 3;Дроны;25;149990;3749750
4010;10.02.2022;Philips Hue Smart Bulbs;Умный дом;500;2990;1495000
5001;01.01.2022;Apple iPad Pro 12.9;Планшеты;200;89990;17998000
5002;02.02.2022;Sony PlayStation 5 Pro;Игровые приставки;100;59990;5999000
5003;03.10.2022;Samsung Galaxy Watch 5;Умные часы;150;29990;4498500
5004;04.11.2022;LG UltraFine;Мониторы;50;99990;4999500
5005;05.12.2022;Canon EOS R8;Фотоаппараты;75;299990;22499250
5006;06.10.2021;Bose SoundLink Revolve+;Портативные колонки;100;24990;2499000
5007;07.09.2022;DJI Ronin 4D;Стабилизаторы;25;499990;12499750
5008;08.07.2021;Samsung Galaxy Book Pro;Ноутбуки;50;129990;6499500
5009;09.07.2022;Philips Sonicare DiamondClean;Электрические зубные щетки;200;9990;1998000
5010;10.02.2001;Nest Learning Thermostat;Умный дом;100;19990;1999000